experiment_id,generation,individual_id,individual,TrainLoss,TestLoss,Precision,Recall,F1,Accuracy,fitness,champion
2,13,10,"[3, 30, 8, 8, 3, 239, 8, 8]",0.179773158232371,0.10955868663390478,0.9808785529715762,0.9272105520273571,0.9532898041185334,0.938,0.9532898041185334,False
2,14,14,"[3, 30, 8, 8, 3, 1169, 8, 8]",0.17569240101178488,0.1181633107662201,0.9748589020010262,0.9295499021526419,0.9516654144753318,0.9356666666666666,0.9516654144753318,False
2,15,0,"[3, 30, 8, 8, 3, 239, 8, 8]",0.12088926343558895,0.05654271281065947,0.9928164922195248,0.9531569395357723,0.9725825787775709,0.9631594111792131,0.9725825787775709,True
2,15,1,"[3, 30, 8, 8, 3, 1169, 8, 8]",0.12082052943533753,0.07009661740749588,0.9854334716892474,0.9615436049288375,0.9733419711663975,0.9638928178532139,0.9733419711663975,True
2,15,2,"[3, 34, 8, 8, 3, 1359, 8, 8]",0.12170897994558852,0.058665400417998344,0.9925185539861144,0.9504059604546757,0.9710058651884961,0.9610901566347111,0.9710058651884961,True
2,15,3,"[3, 30, 8, 8, 3, 247, 8, 8]",0.1227887802041747,0.060071427307591255,0.9910499413273931,0.951934282166396,0.9710983785469286,0.9611556393734612,0.9710983785469286,True
2,15,19,"[3, 31, 8, 8, 3, 1101, 8, 8]",0.19368754188219706,0.11850661306579907,0.9855371900826446,0.928919182083739,0.956390977443609,0.942,0.956390977443609,False
3,0,15,"[3, 12, 8, 8, 3, 4, 8, 8]",0.33963967633247377,0.29048460006713867,0.8711819389110226,0.9479768786127167,0.9079584775086506,0.867,0.9079584775086506,False
3,1,6,"[3, 13, 8, 8, 3, 7, 8, 8]",0.3435047352313995,0.2945938777923584,0.8599221789883269,0.9622641509433962,0.9082191780821918,0.866,0.9082191780821918,False
3,2,13,"[3, 11, 8, 8, 3, 1, 8, 8]",0.32230899691581727,0.273803795337677,0.8718626155878467,0.9523809523809523,0.9103448275862069,0.87,0.9103448275862069,False
3,3,0,"[3, 7, 8, 8, 3, 6, 8, 8]",0.3470003638267517,0.2865038743019104,0.8823529411764706,0.9520451339915373,0.9158751696065129,0.876,0.9158751696065129,False
3,4,10,"[3, 15, 8, 8, 3, 14, 8, 8]",0.3459456424713135,0.28696449398994445,0.8923705722070845,0.916083916083916,0.904071773636991,0.861,0.904071773636991,False
