experiment_id,generation,number_of_trained_individuals,individual_count_per_layer,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,loss_mean,loss_std,loss_median,loss_min,loss_max
6,1,20,"[18, 0, 0]",0.78,0.19,0.84,0.27,0.97,0.7,0.02,0.7,0.65,0.73
6,2,20,"[20, 20, 0]",0.58,0.29,0.6,0.01,0.99,0.7,0.02,0.7,0.63,0.75
6,3,20,"[14, 20, 0]",0.85,0.15,0.87,0.42,0.99,0.69,0.03,0.69,0.6,0.75
6,4,20,"[20, 18, 0]",0.69,0.3,0.82,0.05,1.0,0.68,0.05,0.69,0.57,0.75
6,5,20,"[16, 19, 0]",0.87,0.13,0.91,0.44,1.0,0.67,0.06,0.7,0.53,0.75
6,6,20,"[20, 20, 0]",0.73,0.3,0.84,0.01,1.0,0.68,0.06,0.71,0.53,0.75
6,7,20,"[15, 18, 0]",0.9,0.11,0.96,0.55,1.0,0.65,0.06,0.68,0.53,0.73
6,8,20,"[20, 15, 0]",0.6,0.35,0.61,0.01,1.0,0.67,0.05,0.69,0.57,0.74
6,9,20,"[19, 20, 0]",0.85,0.18,0.92,0.38,1.0,0.67,0.05,0.69,0.57,0.73
6,10,20,"[20, 19, 20]",0.66,0.31,0.7,0.0,1.0,0.65,0.05,0.64,0.56,0.75
6,11,20,"[17, 19, 16]",0.8,0.16,0.88,0.45,1.0,0.63,0.08,0.64,0.4,0.75
6,12,20,"[20, 20, 13]",0.75,0.25,0.87,0.07,1.0,0.59,0.11,0.63,0.4,0.73
6,13,20,"[20, 18, 18]",0.92,0.08,0.94,0.52,1.0,0.59,0.12,0.6,0.4,0.73
7,0,20,"[20, 0, 0]",0.71,0.03,0.7,0.65,0.75,0.71,0.03,0.7,0.65,0.75
7,1,20,"[18, 0, 0]",0.73,0.01,0.73,0.7,0.75,0.73,0.01,0.73,0.7,0.75
7,2,20,"[20, 20, 0]",0.7,0.03,0.7,0.66,0.76,0.7,0.03,0.7,0.66,0.76
7,3,20,"[18, 19, 0]",0.73,0.02,0.73,0.68,0.75,0.73,0.02,0.73,0.68,0.75
7,4,20,"[20, 20, 0]",0.71,0.03,0.71,0.63,0.75,0.71,0.03,0.71,0.63,0.75
7,5,20,"[17, 15, 0]",0.73,0.02,0.73,0.64,0.75,0.73,0.02,0.73,0.64,0.75
7,6,20,"[20, 20, 0]",0.7,0.03,0.71,0.6,0.75,0.7,0.03,0.71,0.6,0.75
7,7,20,"[20, 20, 0]",0.72,0.02,0.72,0.67,0.75,0.72,0.02,0.72,0.67,0.75
7,8,20,"[20, 19, 0]",0.7,0.03,0.7,0.63,0.75,0.7,0.03,0.7,0.63,0.75
7,9,20,"[15, 19, 0]",0.72,0.02,0.72,0.67,0.75,0.72,0.02,0.72,0.67,0.75
7,10,20,"[20, 20, 18]",0.7,0.04,0.71,0.59,0.75,0.7,0.04,0.71,0.59,0.75
7,11,20,"[17, 20, 18]",0.69,0.06,0.71,0.44,0.75,0.69,0.06,0.71,0.44,0.75
7,12,20,"[20, 25, 13]",0.7,0.03,0.7,0.63,0.75,0.7,0.03,0.7,0.63,0.75
7,13,20,"[9, 21, 17]",0.69,0.09,0.71,0.46,0.75,0.69,0.09,0.71,0.46,0.75
8,0,20,"[20, 0, 0]",0.71,0.03,0.72,0.64,0.77,0.71,0.03,0.72,0.64,0.77
8,1,20,"[20, 0, 0]",0.73,0.03,0.73,0.64,0.77,0.73,0.03,0.73,0.64,0.77
8,2,20,"[20, 20, 0]",0.71,0.03,0.72,0.6,0.77,0.71,0.03,0.72,0.6,0.77
8,3,20,"[15, 16, 0]",0.72,0.04,0.73,0.57,0.77,0.72,0.04,0.73,0.57,0.77
8,4,20,"[20, 20, 0]",0.71,0.05,0.73,0.56,0.77,0.71,0.05,0.73,0.56,0.77
8,5,20,"[19, 19, 0]",0.72,0.05,0.73,0.55,0.77,0.72,0.05,0.73,0.55,0.77
8,6,20,"[20, 15, 0]",0.7,0.04,0.7,0.52,0.77,0.7,0.04,0.7,0.52,0.77
8,7,20,"[14, 10, 0]",0.71,0.05,0.72,0.52,0.77,0.71,0.05,0.72,0.52,0.77
8,8,20,"[20, 17, 0]",0.71,0.04,0.71,0.52,0.77,0.71,0.04,0.71,0.52,0.77
8,9,20,"[19, 19, 0]",0.71,0.04,0.71,0.52,0.75,0.71,0.04,0.71,0.52,0.75
8,10,20,"[20, 20, 20]",0.68,0.04,0.69,0.52,0.76,0.68,0.04,0.69,0.52,0.76
8,11,20,"[11, 20, 15]",0.66,0.08,0.69,0.41,0.74,0.66,0.08,0.69,0.41,0.74
8,12,20,"[20, 20, 18]",0.66,0.09,0.69,0.41,0.74,0.66,0.09,0.69,0.41,0.74
8,13,20,"[23, 19, 18]",0.67,0.09,0.71,0.41,0.74,0.67,0.09,0.71,0.41,0.74
9,0,20,"[20, 0, 0]",1.01,0.06,1.0,0.91,1.13,1.01,0.06,1.0,0.91,1.13
9,1,20,"[19, 0, 0]",1.05,0.06,1.05,0.89,1.13,1.05,0.06,1.05,0.89,1.13
9,2,20,"[20, 20, 0]",1.02,0.05,1.0,0.94,1.12,1.02,0.05,1.0,0.94,1.12
9,3,20,"[19, 18, 0]",1.03,0.09,1.06,0.7,1.12,1.03,0.09,1.06,0.7,1.12
9,4,20,"[20, 19, 0]",1.0,0.09,1.01,0.68,1.13,1.0,0.09,1.01,0.68,1.13
9,5,20,"[21, 10, 0]",1.03,0.09,1.05,0.68,1.13,1.03,0.09,1.05,0.68,1.13
9,6,20,"[20, 17, 0]",0.97,0.1,0.99,0.66,1.11,0.97,0.1,0.99,0.66,1.11
9,7,20,"[17, 19, 0]",0.98,0.13,1.01,0.65,1.11,0.98,0.13,1.01,0.65,1.11
9,8,20,"[20, 19, 0]",0.95,0.11,0.99,0.65,1.12,0.95,0.11,0.99,0.65,1.12
9,9,20,"[19, 19, 0]",0.98,0.13,1.01,0.65,1.12,0.98,0.13,1.01,0.65,1.12
9,10,20,"[20, 15, 0]",0.94,0.12,0.97,0.65,1.12,0.94,0.12,0.97,0.65,1.12
9,11,20,"[12, 13, 0]",0.94,0.15,1.01,0.65,1.12,0.94,0.15,1.01,0.65,1.12
9,12,20,"[20, 20, 0]",0.92,0.14,0.99,0.65,1.14,0.92,0.14,0.99,0.65,1.14
9,13,20,"[19, 13, 0]",0.96,0.15,1.04,0.65,1.14,0.96,0.15,1.04,0.65,1.14
9,14,20,"[20, 18, 0]",0.89,0.13,0.9,0.65,1.12,0.89,0.13,0.9,0.65,1.12
