experiment_id,generation,individual_id,age,layer,model_performance
5,4,23,0,0,"{'epoch': 0, 'train_loss': 0.76, 'test_loss': 0.68, 'precision': 0.68, 'recall': 0.76, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [500, 250, 125], 'best_f1': 0.72, 'best_auc': 0.85, 'time': 7.0}"
5,5,8,1,0,"{'epoch': 0, 'train_loss': 0.71, 'test_loss': 0.58, 'precision': 0.72, 'recall': 0.86, 'accuracy': 0.81, 'learning_rate': 0.0, 'branches': [960, 480], 'best_f1': 0.78, 'best_auc': 0.89, 'time': 5.14}"
5,5,16,2,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
5,6,16,2,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
5,6,22,3,2,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.54, 'precision': 0.64, 'recall': 0.93, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [160, 490, 345], 'best_f1': 0.78, 'best_auc': 0.93, 'time': 14.57}"
5,6,39,0,0,"{'epoch': 0, 'train_loss': 0.82, 'test_loss': 0.72, 'precision': 0.63, 'recall': 0.78, 'accuracy': 0.74, 'learning_rate': 0.0, 'branches': [1440, 720], 'best_f1': 0.7, 'best_auc': 0.82, 'time': 4.43}"
5,7,1,1,0,"{'epoch': 0, 'train_loss': 0.69, 'test_loss': 0.77, 'precision': 0.91, 'recall': 0.53, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [800, 400], 'best_f1': 0.67, 'best_auc': 0.91, 'time': 4.64}"
5,7,16,3,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
5,7,20,4,2,"{'epoch': 9, 'train_loss': 0.37, 'test_loss': 0.43, 'precision': 0.77, 'recall': 0.89, 'accuracy': 0.86, 'learning_rate': 0.0, 'branches': [160, 490, 345], 'best_f1': 0.83, 'best_auc': 0.94, 'time': 243.21}"
5,8,16,3,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
