experiment_id,name,start_time,end_time,classification_class,signal_type,population_size,generations,crossover_prob,mutation_prob,selection_tournament_size,elitism,hall_of_fame_members,max_number_of_mutations,data_split_training,data_split_testing,base_batch_size,learning_rate,epoch,min_kernel_size,max_kernel_size,number_of_branches_range,number_of_kernels_range,dataset_name,max_memory,fitness_function,minimize_fitness,best,second_best,third_best
20,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 12:52:05.258039,2025-07-23 12:54:00.506058,wake,EEG_Fpz-Cz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[111, 311, 723, 1463], [382, 1446, 1015], [1402, 1087]], Fitness=0.6349","2. Branches=[[111, 311, 723, 1463], [1226, 501], [1402, 1087]], Fitness=0.6746","3. Branches=[[303, 835, 111, 508]], Fitness=0.6867"
21,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 12:54:02.250025,2025-07-23 12:56:06.312389,N1,EEG_Fpz-Cz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[739, 1112, 582, 1124]], Fitness=1.0275","2. Branches=[[739, 1112, 582, 1124], [1406, 475, 704, 851], [1334, 1492]], Fitness=1.0285","3. Branches=[[650, 1245, 810, 1364]], Fitness=1.0312"
22,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 12:56:08.127322,2025-07-23 12:57:35.485023,N2,EEG_Fpz-Cz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[594, 1244, 1034]], Fitness=0.5841","2. Branches=[[70, 915], [827, 886]], Fitness=0.5858","3. Branches=[[827, 886], [720, 1279, 1413], [1412, 1077, 135, 353]], Fitness=0.6195"
23,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 12:57:38.798008,2025-07-23 12:59:12.606346,N3,EEG_Fpz-Cz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[56, 1270, 318]], Fitness=0.4296","2. Branches=[[1409, 688, 396], [308, 507, 124], [504, 850, 547, 579]], Fitness=0.4467","3. Branches=[[628, 901, 1124, 285], [239, 1397, 490]], Fitness=0.4572"
24,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 12:59:14.016149,2025-07-23 13:00:51.070002,REM,EEG_Fpz-Cz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[718, 320, 668], [505, 1341]], Fitness=0.7522","2. Branches=[[580, 439, 1284], [737, 560, 132, 246], [912, 939, 856, 1371]], Fitness=0.7621","3. Branches=[[222, 260, 71], [406, 416], [235, 989]], Fitness=0.7673"
25,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:00:52.578179,2025-07-23 13:02:16.872722,wake,EEG_Pz-Oz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[532, 313], [150, 624]], Fitness=0.4485","2. Branches=[[246, 184]], Fitness=0.4934","3. Branches=[[145, 520]], Fitness=0.4934"
26,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:02:18.843524,2025-07-23 13:04:56.410535,N1,EEG_Pz-Oz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[1214, 685, 1356, 509], [127, 107, 887, 1313], [386, 1247, 1457]], Fitness=1.1044","2. Branches=[[1436, 902, 500, 239]], Fitness=1.1203","3. Branches=[[1401, 855]], Fitness=1.1226"
27,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:04:58.173515,2025-07-23 13:07:04.604537,N2,EEG_Pz-Oz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[881, 471, 1457], [62, 281]], Fitness=0.5558","2. Branches=[[62, 281]], Fitness=0.5807","3. Branches=[[1446, 1079, 1222], [640, 1140, 255, 885], [1262, 448, 287]], Fitness=0.6028"
28,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:07:06.057873,2025-07-23 13:09:17.453605,N3,EEG_Pz-Oz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[104, 1216, 156, 1135], [1443, 901, 1179]], Fitness=0.4897","2. Branches=[[124, 1216, 156, 1135], [1443, 1117, 1461]], Fitness=0.5101","3. Branches=[[104, 1216, 156, 1135], [1443, 1117, 1461]], Fitness=0.5118"
29,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:09:19.198900,2025-07-23 13:11:34.207820,REM,EEG_Pz-Oz,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[62, 267, 1387], [647, 211], [634, 710, 1437]], Fitness=0.8494","2. Branches=[[1155, 1111, 115, 167], [607, 1449, 32]], Fitness=0.8513","3. Branches=[[634, 710, 1437], [607, 1449, 32]], Fitness=0.8538"
