experiment_id,generation,individual_id,model_performance
4,1,1,"{'epoch': 0, 'train_loss': 0.73, 'test_loss': 0.75, 'precision': 0.34, 'recall': 0.97, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[8, 13, 15, 11], [10, 14, 8, 10]], 'best_f1': 0.5, 'best_auc': 0.9, 'time': 1.87}"
4,1,2,"{'epoch': 0, 'train_loss': 0.76, 'test_loss': 0.7, 'precision': 0.38, 'recall': 0.98, 'accuracy': 0.71, 'learning_rate': 0.0, 'branches': [[2, 7], [12, 3], [13, 5, 4, 1]], 'best_f1': 0.54, 'best_auc': 0.9, 'time': 1.46}"
5,0,1,"{'epoch': 0, 'train_loss': 0.45, 'test_loss': 0.33, 'precision': 0.69, 'recall': 0.91, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[6, 2], [9, 1, 15, 13]], 'best_f1': 0.79, 'best_auc': 0.97, 'time': 1.95}"
5,0,2,"{'epoch': 0, 'train_loss': 0.45, 'test_loss': 0.31, 'precision': 0.85, 'recall': 0.81, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[6, 5, 6], [1, 6, 12], [12, 8, 2, 3]], 'best_f1': 0.83, 'best_auc': 0.98, 'time': 2.05}"
5,0,3,"{'epoch': 0, 'train_loss': 0.46, 'test_loss': 0.22, 'precision': 0.86, 'recall': 0.87, 'accuracy': 0.96, 'learning_rate': 0.0, 'branches': [[4, 8, 13, 14], [9, 1, 1, 13]], 'best_f1': 0.86, 'best_auc': 0.99, 'time': 1.55}"
5,1,2,"{'epoch': 0, 'train_loss': 0.45, 'test_loss': 0.31, 'precision': 0.85, 'recall': 0.81, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[6, 5, 6], [1, 6, 12], [12, 8, 2, 3]], 'best_f1': 0.83, 'best_auc': 0.98, 'time': 2.05}"
5,1,0,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.28, 'precision': 0.87, 'recall': 0.84, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[6, 5, 6], [1, 6, 12], [6, 7, 13]], 'best_f1': 0.86, 'best_auc': 0.98, 'time': 1.84}"
5,1,0,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.28, 'precision': 0.87, 'recall': 0.84, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[6, 5, 6], [1, 6, 12], [6, 7, 13]], 'best_f1': 0.86, 'best_auc': 0.98, 'time': 1.84}"
6,0,1,"{'epoch': 0, 'train_loss': 1.16, 'test_loss': 1.19, 'precision': 0.11, 'recall': 0.92, 'accuracy': 0.46, 'learning_rate': 0.0, 'branches': [[11, 12], [10, 8], [1, 12, 10, 5]], 'best_f1': 0.19, 'best_auc': 0.78, 'time': 1.72}"
6,0,2,"{'epoch': 0, 'train_loss': 1.2, 'test_loss': 1.19, 'precision': 0.1, 'recall': 0.92, 'accuracy': 0.39, 'learning_rate': 0.0, 'branches': [[6, 8, 2], [10, 15, 11, 7], [10, 3, 14]], 'best_f1': 0.17, 'best_auc': 0.77, 'time': 1.7}"
